1110306,ほしみ,1,11101,hoshimi,ほしみ,ほしみ,43.13373,141.191402,1110306,63
1110307,星置,1,11101,hoshioki,星置,ほしおき,43.132375,141.210856,1110307,64
1110308,稲穂,1,11101,inaho,稲穂,いなほ,43.128115,141.222919,1110308,65
1110309,手稲,1,11101,teine,手稲,ていね,43.120238,141.243785,1110309,66
1110310,稲積公園,1,11101,inadumikoen,稲積公園,いなづみこうえん,43.112023,141.257113,1110310,67
1110311,発寒,1,11101,hassamu,発寒,はっさむ,43.099819,141.277273,1110311,68
1110312,発寒中央,1,11101,hassamuchuo,発寒中央,はっさむちゅうおう,43.089271,141.294497,1110312,69
1110313,琴似,1,11101,kotoni,琴似,ことに,43.081599,141.307418,1110313,70
1110314,桑園,1,11101,soen,桑園,そうえん,43.070744,141.332036,1110314,71
1110315,札幌,1,11101,sapporo,札幌,さっぽろ,43.068612,141.350768,1110315,72
1110316,苗穂,1,11101,naebo,苗穂,なえぼ,43.068574,141.377522,1110316,73
1110317,白石,1,11101,shiroishi,白石,しろいし,43.054715,141.413612,1110317,74
1110318,厚別,1,11101,atsubetsu,厚別,あつべつ,43.045154,141.46369,1110318,75
1110319,森林公園,1,11101,shinrinkoen,森林公園,しんりんこうえん,43.056456,141.481332,1110319,76
1110320,大麻,1,11101,oasa,大麻,おおあさ,43.072382,141.496925,1110320,77
1110321,野幌,1,11101,nopporo,野幌,のっぽろ,43.092559,141.52984,1110321,78
1110322,高砂,1,11101,takasago,高砂,たかさご,43.100084,141.540752,1110322,79
1110323,江別,1,11101,ebetsu,江別,えべつ,43.110189,141.55679,1110323,80
1110324,豊幌,1,11101,toyohoro,豊幌,とよほろ,43.136446,141.62466,1110324,81
1110325,幌向,1,11101,horomui,幌向,ほろむい,43.151348,141.655839,1110325,82
1110326,上幌向,1,11101,kamihoromui,上幌向,かみほろむい,43.18183,141.715391,1110326,83
1110327,岩見沢,1,11101,iwamizawa,岩見沢,いわみざわ,43.204201,141.759359,1110327,84
1110328,峰延,1,11101,minenobu,峰延,みねのぶ,43.264694,141.814673,1110328,85
1110329,光珠内,1,11101,koshunai,光珠内,こうしゅない,43.292658,141.844655,1110329,86
1110330,美唄,1,11101,bibai,美唄,びばい,43.330751,141.862157,1110330,87
1110331,茶志内,1,11101,chashinai,茶志内,ちゃしない,43.369842,141.87336,1110331,88
1110332,奈井江,1,11101,naie,奈井江,ないえ,43.423718,141.889115,1110332,89
1110333,豊沼,1,11101,toyonuma,豊沼,とよぬま,43.464224,141.901032,1110333,90
1110334,砂川,1,11101,sunagawa,砂川,すながわ,43.493468,141.909642,1110334,91
1110335,滝川,1,11101,takikawa,滝川,たきかわ,43.555278,141.900807,1110335,92
1110336,江部乙,1,11101,ebeotsu,江部乙,えべおつ,43.627564,141.935937,1110336,93
1110337,妹背牛,1,11101,moseushi,妹背牛,もせうし,43.690841,141.966591,1110337,94
1110338,深川,1,11101,fukagawa,深川,ふかがわ,43.721021,142.041642,1110338,95
1110339,納内,1,11101,osamunai,納内,おさむない,43.732509,142.130072,1110339,96
1110340,伊納,1,11101,ino,伊納,いのう,43.763305,142.27167,1110340,97
1110341,近文,1,11101,chikabumi,近文,ちかぶみ,43.789193,142.325327,1110341,98
1110342,旭川,1,11101,asahikawa,旭川,あさひかわ,43.763492,142.357803,1110342,99
1110401,長万部,1,11104,oshamambe,長万部,おしゃまんべ,42.512477,140.37507,1110138,1
1110402,静狩,1,11104,shizukari,静狩,しずかり,42.584065,140.460025,1110402,2
1110403,小幌,1,11104,koboro,小幌,こぼろ,42.589731,140.537361,1110403,3
1110404,礼文,1,11104,rebun,礼文,れぶん,42.580422,140.595013,1110404,4
1110405,大岸,1,11104,okishi,大岸,おおきし,42.585969,140.639036,1110405,5
1110406,豊浦,1,11104,toyoura,豊浦,とようら,42.580323,140.71536,1110406,6
1110407,洞爺,1,11104,toya,洞爺,とうや,42.55055,140.763959,1110407,7
1110408,有珠,1,11104,usu,有珠,うす,42.513267,140.793969,1110408,8
1110409,長和,1,11104,nagawa,長和,ながわ,42.488262,140.833783,1110409,9
1110410,伊達紋別,1,11104,datemombetsu,伊達紋別,だてもんべつ,42.469395,140.855802,1110410,10
1110411,北舟岡,1,11104,kitafunaoka,北舟岡,きたふなおか,42.450528,140.880259,1110411,11
1110412,稀府,1,11104,mareppu,稀府,まれっぷ,42.425567,140.898836,1110412,12
1110413,黄金,1,11104,kogane,黄金,こがね,42.386441,140.907781,1110413,13
1110414,崎守,1,11104,sakimori,崎守,さきもり,42.373968,140.927141,1110414,14
1110415,本輪西,1,11104,motowanishi,本輪西,もとわにし,42.358734,140.977561,1110415,15
1110416,室蘭,1,11104,muroran,室蘭,むろらん,42.317864,140.97571,1110416,16
1110417,母恋,1,11104,bokoi,母恋,ぼこい,42.317295,140.990018,1110417,17
1110418,御崎,1,11104,misaki,御崎,みさき,42.329014,140.993881,1110418,18
1110419,輪西,1,11104,wanishi,輪西,わにし,42.333775,141.005743,1110419,19
1110420,東室蘭,1,11104,higashimuroran,東室蘭,ひがしむろらん,42.349374,141.026411,1110420,20
1110421,鷲別,1,11104,washibetsu,鷲別,わしべつ,42.35953,141.042759,1110421,21
1110422,幌別,1,11104,horobetsu,幌別,ほろべつ,42.409782,141.107293,1110422,22
1110423,富浦,1,11104,tomiura,富浦,とみうら,42.441957,141.156878,1110423,23
1110424,登別,1,11104,noboribetsu,登別,のぼりべつ,42.45207,141.180931,1110424,24
1110425,虎杖浜,1,11104,kojohama,虎杖浜,こじょうはま,42.464695,141.215092,1110425,25
1110426,竹浦,1,11104,takeura,竹浦,たけうら,42.49284,141.260395,1110426,26
1110427,北吉原,1,11104,kitayoshihara,北吉原,きたよしはら,42.509119,141.286199,1110427,27
1110428,萩野,1,11104,hagino,萩野,はぎの,42.521159,141.30603,1110428,28
1110429,白老,1,11104,shiraoi,白老,しらおい,42.55474,141.360054,1110429,29
1110430,社台,1,11104,shadai,社台,しゃだい,42.578682,141.417433,1110430,30
1110431,錦岡,1,11104,nishikioka,錦岡,にしきおか,42.6025,141.48722,1110431,31
1110432,糸井,1,11104,itoi,糸井,いとい,42.6225,141.546187,1110432,32
1110433,青葉,1,11104,aoba,青葉,あおば,42.62999,141.568278,1110433,33
1110434,苫小牧,1,11104,tomakomai,苫小牧,とまこまい,42.639665,141.596837,1110434,34
1110502,沼ノ端,1,11104,numanohata,沼ノ端,ぬまのはた,42.672057,141.693132,1110502,36
1110503,遠浅,1,11104,toasa,遠浅,とあさ,42.729533,141.769568,1110503,37
1110504,早来,1,11104,hayakita,早来,はやきた,42.765237,141.814106,1110504,38
1110505,安平,1,11104,abira,安平,あびら,42.814007,141.825283,1110505,39
1110506,追分,1,11104,oiwake,追分,おいわけ,42.873316,141.810678,1110506,40
1110507,三川,1,11104,mikawa,三川,みかわ,42.945029,141.800778,1110507,41
1110508,古山,1,11104,furusan,古山,ふるさん,42.975256,141.793969,1110508,42
1110509,由仁,1,11104,yuni,由仁,ゆに,43.012206,141.785868,1110509,43
1110510,栗山,1,11104,kuriyama,栗山,くりやま,43.058164,141.775603,1110510,44
1110511,栗丘,1,11104,kurioka,栗丘,くりおか,43.085444,141.744333,1110511,45
1110512,栗沢,1,11104,kurisawa,栗沢,くりさわ,43.120367,141.739743,1110512,46
1110513,志文,1,11104,shibun,志文,しぶん,43.158903,141.744443,1110513,47
1110514,岩見沢,1,11104,iwamizawa,岩見沢,いわみざわ,43.204201,141.759359,1110327,48
1110601,滝川,1,11106,takikawa,滝川,たきかわ,43.555278,141.900807,1110335,1
1110602,東滝川,1,11106,higashitakikawa,東滝川,ひがしたきかわ,43.574037,141.98031,1110602,2
1110603,赤平,1,11106,akabira,赤平,あかびら,43.555144,142.048669,1110603,3
1110604,茂尻,1,11106,moshiri,茂尻,もしり,43.537314,142.082156,1110604,4
1110605,平岸,1,11106,hiragishi-jr,平岸（JR）,ひらぎし（JR）,43.541401,142.123872,1110605,5
1110606,芦別,1,11106,ashibetsu,芦別,あしべつ,43.516636,142.184543,1110606,6
