11337,JR信越本線,shinetsuhonsen,jr,JR信越本線,しんえつほんせん,11337
11338,JR水郡線,suigun_line,jr,JR水郡線,すいぐんせん,11338
11339,JR水戸線,mito_line,jr,JR水戸線,みとせん,11339
11340,JR日光線,nikko_line,jr,JR日光線,にっこうせん,11340
11341,JR両毛線,ryomo_line,jr,JR両毛線,りょうもうせん,11341
11342,JR上越線,joetsu_line,jr,JR上越線,じょうえつせん,11342
11401,JR小海線,komi_line,jr,JR小海線,こうみせん,11401
11402,JR身延線,minobu_line,jr,JR身延線,みのぶせん,11402
11405,JR北陸本線,hokurikuhonsen,jr,JR北陸本線,ほくりくほんせん,11405
11406,JR白新線,hakushin_line,jr,JR白新線,はくしんせん,11406
11407,JR飯山線,iiyama_line,jr,JR飯山線,いいやません,11407
11408,JR越後線,echigo_line,jr,JR越後線,えちごせん,11408
11409,JR大糸線,oito_line,jr,JR大糸線,おおいとせん,11409
11410,JR弥彦線,yahiko_line,jr,JR弥彦線,やひこせん,11410
11412,JR篠ノ井線,shinonoi_line,jr,JR篠ノ井線,しののいせん,11412
11413,JR飯田線,iida_line,jr,JR飯田線,いいだせん,11413
11416,JR高山本線,takayamahonsen,jr,JR高山本線,たかやまほんせん,11416
11417,JR城端線,johana_line,jr,JR城端線,じょうはなせん,11417
11418,JR氷見線,himi_line,jr,JR氷見線,ひみせん,11418
11419,JR七尾線,nanao_line,jr,JR七尾線,ななおせん,11419
11421,JR越美北線,etsumihoku_line,jr,JR越美北線,えつみほくせん,11421
11422,JR小浜線,obama_line,jr,JR小浜線,おばません,11422
11504,JR伊東線,ito_line,jr,JR伊東線,いとうせん,11504
11505,JR御殿場線,gotemba_line,jr,JR御殿場線,ごてんばせん,11505
11506,JR武豊線,taketoyo_line,jr,JR武豊線,たけとよせん,11506
11507,JR太多線,taita_line,jr,JR太多線,たいたせん,11507
11508,JR関西本線,kansaihonsen,jr,JR関西本線,かんさいほんせん,11508
11510,JR紀勢本線,kiseihonsen,jr,JR紀勢本線,きせいほんせん,11510
11511,JR草津線,kusatsu_line,jr,JR草津線,くさつせん,11511
11512,JR参宮線,sangu_line,jr,JR参宮線,さんぐうせん,11512
11513,JR名松線,meisho_line,jr,JR名松線,めいしょうせん,11513
11605,JR湖西線,kosei_line,jr,JR湖西線,こせいせん,11605
11608,JR山陽本線,sanyohonsen,jr,JR山陽本線,さんようほんせん,11608
11614,JR山陰本線,saninhonsen,jr,JR山陰本線,さんいんほんせん,11614
11617,JR片町線,katamachi_line,jr,JR片町線,かたまちせん,11617
11618,JR奈良線,nara_line,jr,JR奈良線,ならせん,11618
11622,JR舞鶴線,maiduru_line,jr,JR舞鶴線,まいづるせん,11622
